docID,label,word_0,word_0.distBG,word_0.distCS,word_0.distEND,word_0.hasADJ,word_0.hasCapital,word_0.hasFood,word_0.hasFoodAdj,word_0.hasNN,word_0.length,word_l1,word_l1.hasCapital,word_l1.isADJ,word_l1.isDT,word_l1.isFood,word_l1.isFoodAdj,word_l1.isMeal,word_l1.isNN,word_l1.isNum,word_l1.isPRCJ,word_l1.isPRN,word_l1.isVB,word_l1.postag,word_l2,word_l2.hasCapital,word_l2.isADJ,word_l2.isDT,word_l2.isFood,word_l2.isFoodAdj,word_l2.isMeal,word_l2.isNN,word_l2.isNum,word_l2.isPRCJ,word_l2.isPRN,word_l2.isVB,word_l2.postag,word_r1,word_r1.hasCapital,word_r1.isADJ,word_r1.isDT,word_r1.isFood,word_r1.isFoodAdj,word_r1.isMeal,word_r1.isNN,word_r1.isNum,word_r1.isPRCJ,word_r1.isPRN,word_r1.isVB,word_r1.postag,word_r2,word_r2.hasCapital,word_r2.isADJ,word_r2.isDT,word_r2.isFood,word_r2.isFoodAdj,word_r2.isMeal,word_r2.isNN,word_r2.isNum,word_r2.isPRCJ,word_r2.isPRN,word_r2.isVB,word_r2.postag
3,True,lattes,3,1,11,False,False,True,False,True,1,2,True,False,False,False,False,False,False,True,False,False,False,CD,ordered,False,False,False,False,False,False,False,False,False,False,True,VB,",",True,False,False,False,False,False,False,False,False,False,False,",",the,False,False,True,False,False,False,False,False,False,False,False,DT
3,False,breakfast,6,2,8,False,False,False,False,True,1,the,False,False,True,False,False,False,False,False,False,False,False,DT,",",True,False,False,False,False,False,False,False,False,False,False,",",scramble,False,False,False,False,False,False,True,False,False,False,False,NN,with,False,False,False,False,False,False,False,False,True,False,False,IN
3,False,scramble,7,3,7,False,False,False,False,True,1,breakfast,False,False,False,False,False,True,True,False,False,False,False,NN,the,False,False,True,False,False,False,False,False,False,False,False,DT,with,False,False,False,False,False,False,False,False,True,False,False,IN,greens,False,False,False,False,False,False,True,False,False,False,False,NN
3,True,greens,9,5,5,False,False,False,False,True,1,with,False,False,False,False,False,False,False,False,True,False,False,IN,scramble,False,False,False,False,False,False,True,False,False,False,False,NN,and,False,False,False,False,False,False,False,False,True,False,False,CC,a,False,False,True,False,False,False,False,False,False,False,False,DT
3,False,side,12,8,2,False,False,False,False,True,1,a,False,False,True,False,False,False,False,False,False,False,False,DT,and,False,False,False,False,False,False,False,False,True,False,False,CC,of,False,False,False,False,False,False,False,False,True,False,False,IN,,,,,,,,,,,,,
3,True,potatoes,14,10,0,False,False,True,False,True,1,of,False,False,False,False,False,False,False,False,True,False,False,IN,side,False,False,False,False,False,False,True,False,False,False,False,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
3,True,breakfast scramble,6,2,8,False,False,False,False,True,2,the,False,False,True,False,False,False,False,False,False,False,False,DT,",",True,False,False,False,False,False,False,False,False,False,False,",",with,False,False,False,False,False,False,False,False,True,False,False,IN,greens,False,False,False,False,False,False,True,False,False,False,False,NN
3,True,latte,5,1,9,False,False,True,False,True,1,1,True,False,False,False,False,False,False,True,False,False,False,CD,was,False,False,False,False,False,False,False,False,False,False,True,VB,",",True,False,False,False,False,False,False,False,False,False,False,",",and,False,False,False,False,False,False,False,False,True,False,False,CC
3,False,sides,9,3,5,False,False,False,False,True,1,two,False,False,False,False,False,False,False,True,False,False,False,CD,and,False,False,False,False,False,False,False,False,True,False,False,CC,of,False,False,False,False,False,False,False,False,True,False,False,IN,potatoes,False,False,False,True,False,False,True,False,False,False,False,NNS
3,True,potatoes,11,5,3,False,False,True,False,True,1,of,False,False,False,False,False,False,False,False,True,False,False,IN,sides,False,False,False,False,False,False,True,False,False,False,False,NNS,with,False,False,False,False,False,False,False,False,True,False,False,IN,our,False,False,False,False,False,False,False,False,False,True,False,PRP$
3,True,scrambler,14,8,0,False,False,False,False,True,1,our,False,False,False,False,False,False,False,False,False,True,False,PRP$,with,False,False,False,False,False,False,False,False,True,False,False,IN,,,,,,,,,,,,,,,,,,,,,,,,,,
