name,category_1,category_2,address,city,zipcode,phone,price,rating,review_count,hours_sun_open,hours_sun_close,hours_mon_open,hours_mon_close,hours_tue_open,hours_tue_close,hours_wed_open,hours_wed_close,hours_thu_open,hours_thu_close,hours_fri_open,hours_fir_close,hours_sat_open,hours_sat_close,6
Hae Jang Chon Korean BBQ Restaurant,korean,barbeque,3821 W 6th St,Los Angeles,90020,2133898777.0,2.0,4.0,3970,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,
Kang Ho-dong Baekjeong,barbeque,korean,3465 W 6th St,Los Angeles,90020,2133849678.0,2.0,4.5,3533,1130.0,130.0,1130.0,130.0,1130.0,130.0,1130.0,130.0,1130.0,130.0,1130.0,130.0,1130.0,130.0,
Road To Seoul,korean,barbeque,1230 S Western Ave,Los Angeles,90006,3237319292.0,2.0,4.0,3327,1100.0,2400.0,1100.0,2400.0,1100.0,2400.0,1100.0,2400.0,1100.0,100.0,1100.0,100.0,1100.0,2300.0,
Langer's,delis,sandwiches,704 S Alvarado St,Los Angeles,90057,2134838050.0,2.0,4.5,3170,800.0,1600.0,800.0,1600.0,800.0,1600.0,800.0,1600.0,800.0,1600.0,800.0,1600.0,,,
EMC Seafood & Raw Bar,seafood,live/raw food,3500 W 6th St,Los Angeles,90020,2133519988.0,2.0,4.0,2890,1100.0,1400.0,1600.0,2400.0,1100.0,1400.0,1600.0,2400.0,1100.0,1400.0,1600.0,200.0,1100.0,1400.0,
Soowon Galbi KBBQ Restaurant,korean,barbeque,856 S Vermont Ave,Los Angeles,90005,2133659292.0,2.0,4.5,2228,1130.0,2230.0,1130.0,2230.0,1130.0,2230.0,1130.0,2230.0,1130.0,2300.0,1130.0,2300.0,1200.0,2230.0,
Beer Belly,gastropubs,american (new),532 S Western Ave,Los Angeles,90020,2133872337.0,2.0,4.0,2165,1700.0,2300.0,1700.0,2300.0,1130.0,2400.0,1130.0,2400.0,1130.0,100.0,1130.0,100.0,1130.0,2300.0,
BCD Tofu House,korean,,3575 Wilshire Blvd,Los Angeles,90010,2133826677.0,2.0,3.5,2163,,,,,,,,,,,,,,,
Slurpin' Ramen Bar,ramen,noodles,3500 W 8th St,Los Angeles,90005,2133888607.0,2.0,4.5,2241,1130.0,100.0,1130.0,100.0,1130.0,100.0,1130.0,100.0,1130.0,100.0,1130.0,100.0,1130.0,100.0,
The Boiling Crab,seafood,cajun/creole,3377 Wilshire Blvd,Los Angeles,90010,2133892722.0,2.0,4.0,2055,1500.0,2200.0,1500.0,2200.0,1500.0,2200.0,1500.0,2200.0,1500.0,2200.0,1200.0,2200.0,1200.0,2200.0,
Quarters Korean BBQ,korean,barbeque,3465 W 6th St,Los Angeles,90020,2133658111.0,2.0,4.0,1849,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,
El Taurino,mexican,,1104 S Hoover St,Los Angeles,90006,2137389197.0,1.0,3.5,1868,830.0,300.0,830.0,300.0,830.0,300.0,830.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,
KyoChon,korean,chicken wings,3833 W 6th St,Los Angeles,90020,2137399292.0,2.0,3.5,1819,1100.0,2245.0,1100.0,2245.0,1100.0,2245.0,1100.0,2245.0,1100.0,145.0,1100.0,145.0,1100.0,2245.0,
Han Bat Shul Lung Tang,korean,comfort food,4163 W 5th St,Los Angeles,90020,2133839499.0,1.0,4.5,1725,700.0,2200.0,700.0,2200.0,700.0,2200.0,700.0,2200.0,700.0,2200.0,700.0,2200.0,700.0,2200.0,
