name,category_1,category_2,address,city,zipcode,phone,price,rating,review_count,hours_sun_open,hours_sun_close,hours_mon_open,hours_mon_close,hours_tue_open,hours_tue_close,hours_wed_open,hours_wed_close,hours_thu_open,hours_thu_close,hours_fri_open,hours_fri_close,hours_sat_open,hours_sat_close
Providence,Seafood,Vegetarian Friendly,5955 Melrose Ave,Los Angeles,90038,3238378414.0,4.0,4.5,659,1730.0,2100.0,1800.0,2200.0,1800.0,2200.0,1800.0,2200.0,1800.0,2200.0,1800.0,2200.0,1730.0,2200.0
Raffaello Ristorante,Italian,Vegetarian Friendly,400 S Pacific Ave,Los Angeles,90731,3105140900.0,2.5,4.5,181,1500.0,2100.0,1100.0,1400.0,1100.0,1400.0,1100.0,1400.0,1100.0,1400.0,1100.0,1400.0,1500.0,2145.0
Brent's Delicatessen & Restaurant,American,Delicatessen,19565 Parthenia St,Los Angeles,91324,8188865679.0,2.5,4.5,1245,600.0,2100.0,600.0,2100.0,600.0,2100.0,600.0,2100.0,600.0,2100.0,600.0,2100.0,600.0,2100.0
Tocaya Organica,Mexican,Latin,1715 Pacific Avenue,Los Angeles,,4247448692.0,1.0,4.5,130,,,,,,,,,,,,,,
Angelini Osteria,Italian,Vegetarian Friendly,7313 Beverly Blvd,Los Angeles,90036,3232970070.0,2.5,4.5,375,1730.0,2230.0,,,2400.0,1430.0,2400.0,1430.0,2400.0,1430.0,2400.0,1430.0,1730.0,2230.0
n/naka,Japanese,Asian,3455 Overland Ave,Los Angeles,90034,3108366252.0,4.0,5.0,96,,,,,1800.0,2100.0,1800.0,2100.0,1800.0,2100.0,1800.0,2100.0,1800.0,2100.0
Langer's,American,Delicatessen,704 S Alvarado St,Los Angeles,90057,2134838050.0,2.5,4.5,715,,,800.0,1600.0,800.0,1600.0,800.0,1600.0,800.0,1600.0,800.0,1600.0,800.0,1600.0
Din Tai Fung Dumpling House,Chinese,Asian,177 Caruso Ave,Glendale,91210,8185515561.0,2.5,4.5,352,1000.0,2100.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1000.0,2200.0
Cafe Gratitude,American,Cafe,512 Rosemont Ave,Los Angeles,90026,4242318000.0,2.5,4.5,347,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0
Blujam Cafe,American,Cafe,7371 Melrose Ave,Los Angeles,90046,3239519191.0,2.5,4.5,228,800.0,1600.0,800.0,1600.0,800.0,1600.0,800.0,1600.0,800.0,1600.0,800.0,1600.0,800.0,1600.0
