id,name,category_1,category_2,address,city,zipcode,phone,price,rating,review_count,hours_sun_open,hours_sun_close,hours_mon_open,hours_mon_close,hours_tue_open,hours_tue_close,hours_wed_open,hours_wed_close,hours_thu_open,hours_thu_close,hours_fri_open,hours_fir_close,hours_sat_open,hours_sat_close
a1,Hae Jang Chon Korean BBQ Restaurant,korean,barbeque,3821 W 6th St,Los Angeles,90020,2133898777,2,4,3970,1100,200,1100,200,1100,200,1100,200,1100,200,1100,200,1100,200
a2,Kang Ho-dong Baekjeong,barbeque,korean,3465 W 6th St,Los Angeles,90020,2133849678,2,4.5,3533,1130,130,1130,130,1130,130,1130,130,1130,130,1130,130,1130,130
a3,Road To Seoul,korean,barbeque,1230 S Western Ave,Los Angeles,90006,3237319292,2,4,3327,1100,2400,1100,2400,1100,2400,1100,2400,1100,100,1100,100,1100,2300
a4,Langer's,delis,sandwiches,704 S Alvarado St,Los Angeles,90057,2134838050,2,4.5,3170,800,1600,800,1600,800,1600,800,1600,800,1600,800,1600,,
a5,EMC Seafood & Raw Bar,seafood,live/raw food,3500 W 6th St,Los Angeles,90020,2133519988,2,4,2890,1100,1400,1600,2400,1100,1400,1600,2400,1100,1400,1600,200,1100,1400
a6,Soowon Galbi KBBQ Restaurant,korean,barbeque,856 S Vermont Ave,Los Angeles,90005,2133659292,2,4.5,2228,1130,2230,1130,2230,1130,2230,1130,2230,1130,2300,1130,2300,1200,2230
a7,Beer Belly,gastropubs,american (new),532 S Western Ave,Los Angeles,90020,2133872337,2,4,2165,1700,2300,1700,2300,1130,2400,1130,2400,1130,100,1130,100,1130,2300
a8,BCD Tofu House,korean,,3575 Wilshire Blvd,Los Angeles,90010,2133826677,2,3.5,2163,,,,,,,,,,,,,,
a9,Slurpin' Ramen Bar,ramen,noodles,3500 W 8th St,Los Angeles,90005,2133888607,2,4.5,2241,1130,100,1130,100,1130,100,1130,100,1130,100,1130,100,1130,100
a10,The Boiling Crab,seafood,cajun/creole,3377 Wilshire Blvd,Los Angeles,90010,2133892722,2,4,2055,1500,2200,1500,2200,1500,2200,1500,2200,1500,2200,1200,2200,1200,2200
