id,name,category_1,category_2,address,city,zipcode,phone,price,rating,review_count,hours_sun_open,hours_sun_close,hours_mon_open,hours_mon_close,hours_tue_open,hours_tue_close,hours_wed_open,hours_wed_close,hours_thu_open,hours_thu_close,hours_fri_open,hours_fri_close,hours_sat_open,hours_sat_close
b1,Providence,Seafood,Vegetarian Friendly,5955 Melrose Ave,Los Angeles,90038,3238378414,4,4.5,659,1730,2100,1800,2200,1800,2200,1800,2200,1800,2200,1800,2200,1730,2200
b2,Raffaello Ristorante,Italian,Vegetarian Friendly,400 S Pacific Ave,Los Angeles,90731,3105140900,2.5,4.5,181,1500,2100,1100,1400,1100,1400,1100,1400,1100,1400,1100,1400,1500,2145
b3,Brent's Delicatessen & Restaurant,American,Delicatessen,19565 Parthenia St,Los Angeles,91324,8188865679,2.5,4.5,1245,600,2100,600,2100,600,2100,600,2100,600,2100,600,2100,600,2100
b4,Tocaya Organica,Mexican,Latin,1715 Pacific Avenue,Los Angeles,,4247448692,1,4.5,130,,,,,,,,,,,,,,
b5,Angelini Osteria,Italian,Vegetarian Friendly,7313 Beverly Blvd,Los Angeles,90036,3232970070,2.5,4.5,375,1730,2230,,,2400,1430,2400,1430,2400,1430,2400,1430,1730,2230
b6,n/naka,Japanese,Asian,3455 Overland Ave,Los Angeles,90034,3108366252,4,5,96,,,,,1800,2100,1800,2100,1800,2100,1800,2100,1800,2100
b7,Langer's,American,Delicatessen,704 S Alvarado St,Los Angeles,90057,2134838050,2.5,4.5,715,,,800,1600,800,1600,800,1600,800,1600,800,1600,800,1600
b8,Din Tai Fung Dumpling House,Chinese,Asian,177 Caruso Ave,Glendale,91210,8185515561,2.5,4.5,352,1000,2100,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1000,2200
b9,Cafe Gratitude,American,Cafe,512 Rosemont Ave,Los Angeles,90026,4242318000,2.5,4.5,347,800,2200,800,2200,800,2200,800,2200,800,2200,800,2200,800,2200
b10,Blujam Cafe,American,Cafe,7371 Melrose Ave,Los Angeles,90046,3239519191,2.5,4.5,228,800,1600,800,1600,800,1600,800,1600,800,1600,800,1600,800,1600
b11,Maccheroni Republic,Italian,Mediterranean,332 S Broadway,Los Angeles,90013,2133469725,2.5,4.5,188,1630,2100,1130,1500,1130,1500,1130,1500,1130,1500,1130,1500,1730,2200
b12,Toast Bakery Cafe,American,Cafe,8221 W 3rd St,Los Angeles,90048,3236555018,2.5,4.5,293,730,1800,730,1800,730,1800,730,1800,730,1800,730,1800,730,1800
b13,Sushi Gen,Japanese,Sushi,422 E 2nd St,Los Angeles,90012,2136170552,2.5,4.5,389,,,,,1115,1400,1115,1400,1115,1400,1115,1400,1700,2200
b14,Luggage Room Pizzeria,Pizza,Vegetarian Friendly,260 S Raymond Ave,Pasadena,91105,6263564440,2.5,4.5,161,2400,2100,1700,2200,1700,2200,1700,2200,1700,2200,1600,2300,2400,2300
b15,Madeo,Italian,Vegetarian Friendly,8897 Beverly Blvd,Los Angeles,90048,3108594903,4,4.5,304,1730,2230,1800,2300,1800,2300,1800,2300,1800,2300,1800,2300,1800,2300
b16,Aroma Cafe,American,Cafe,4360 Tujunga Ave,Los Angeles,91604,8185080677,2.5,4.5,246,630,2300,600,2300,600,2300,600,2300,600,2300,600,2300,600,2300
b17,Pampas Grill,Barbecue,South American,6333 W 3rd St,Los Angeles,90036,3239346680,1,4.5,228,1030,1900,1030,2100,1030,2100,1030,2100,1030,2100,1030,2130,1030,2130
b18,The Griddle Cafe,American,Cafe,7916 W Sunset Blvd,Los Angeles,90046,3238740377,2.5,4.5,1376,800,1600,700,1600,700,1600,700,1600,700,1600,700,1600,800,1600
b19,The Bazaar by Jose Andres,Spanish,Vegetarian Friendly,465 S La Cienega Blvd,Los Angeles,90048,3102465555,4,4.5,991,1800,2200,1800,2200,1800,2200,1800,2200,1800,2300,1800,2300,1730,2300
b20,Magic Castle,American,Vegetarian Friendly,7001 Franklin Ave,Los Angeles,90028,3238513313,4,4.5,352,1700,200,1700,200,1700,200,1700,200,1700,200,1700,200,1700,200
b21,Carlitos Gardel,Steakhouse,Latin,7963 Melrose Ave,Los Angeles,90046,3236550891,4,4.5,185,1700,2200,1130,1430,1130,1430,1130,1430,1130,1430,1130,1430,1800,2300
b22,Genwa,Barbecue,Asian,5115 Wilshire Blvd Ste A,Los Angeles,90036,3235490760,2.5,4.5,158,2400,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,2400,2200
b23,Republique,French,American,624 S La Brea Ave,Los Angeles,90036,3103626115,2.5,4.5,397,800,1500,800,1500,800,1500,800,1500,800,1500,800,1500,800,1500
b24,Cafe Gratitude,Cafe,Vegetarian Friendly,639 N Larchmont Blvd,Los Angeles,90004,3235806383,2.5,4.5,225,800,2200,800,2200,800,2200,800,2200,800,2200,800,2200,800,2200
b25,Gjusta,American,Cafe,320 Sunset Ave,Los Angeles,90291,3103140320,2.5,4.5,196,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100
b26,Foxy's Restaurant,American,Delicatessen,206 W Colorado St,Glendale,91204,8182460244,2.5,4.5,319,600,2200,600,2300,600,2300,600,2300,600,2300,600,1200,600,1200
b27,Redbird,American,Vegetarian Friendly,114 E 2nd St,Los Angeles,90012,2137881191,4,4.5,185,1000,1400,1700,2230,1700,2230,1700,2230,1700,2230,1700,2230,1000,1400
b28,Water Grill,American,Seafood,544 S Grand Ave,Los Angeles,90071,2138910900,4,4.5,737,1600,2200,1130,2200,1130,2200,1130,2200,1130,2200,1130,2300,1700,2300
b29,Lemonade,American,Vegetarian Friendly,1661 Abbot Kinney Blvd,Los Angeles,90291,3104526200,2.5,4.5,350,1100,2100,1100,2100,1100,2100,1100,2100,1100,2100,1100,2100,1100,2100
b30,Parkway Grill,American,Vegetarian Friendly,510 S Arroyo Pkwy,Pasadena,91105,6267951001,4,4.5,283,1700,2130,1130,2130,1130,2130,1130,2130,1130,2130,1130,2230,1730,2230
b31,The Veggie Grill,American,Fast Food,8000 W Sunset Blvd,Los Angeles,90046,3238227575,1,4.5,174,1100,2300,1100,2300,1100,2300,1100,2300,1100,2300,1100,2300,1100,2300
b32,Philippe the Original,American,Soups,1001 N Alameda St,Los Angeles,90012,2136283781,1,4.5,1889,600,2200,600,2200,600,2200,600,2200,600,2200,600,2200,600,2200
