_id,ltable_id,rtable_id,ltable_name,ltable_address,ltable_city,ltable_zipcode,ltable_phone,rtable_name,rtable_address,rtable_city,rtable_zipcode,rtable_phone
1,a1,b162,Hae Jang Chon Korean BBQ Restaurant,3821 W 6th St,Los Angeles,90020.0,2133898777.0,Hae Jang Chon Korean BBQ Restaurant,3821 W 6th St,Los Angeles,90020.0,2133898777.0
2,a1,b268,Hae Jang Chon Korean BBQ Restaurant,3821 W 6th St,Los Angeles,90020.0,2133898777.0,Kang Hodong Baekjeong,3465 W 6th St,Los Angeles,90020.0,2133849678.0
10,a1,b1987,Hae Jang Chon Korean BBQ Restaurant,3821 W 6th St,Los Angeles,90020.0,2133898777.0,KangHoDong Baek Jeong,3465 W 6th St Ste 20,Los Angeles,90020.0,2133849678.0
23,a2,b162,Kang Ho-dong Baekjeong,3465 W 6th St,Los Angeles,90020.0,2133849678.0,Hae Jang Chon Korean BBQ Restaurant,3821 W 6th St,Los Angeles,90020.0,2133898777.0
24,a2,b268,Kang Ho-dong Baekjeong,3465 W 6th St,Los Angeles,90020.0,2133849678.0,Kang Hodong Baekjeong,3465 W 6th St,Los Angeles,90020.0,2133849678.0
28,a2,b872,Kang Ho-dong Baekjeong,3465 W 6th St,Los Angeles,90020.0,2133849678.0,Ahgassi Gopchang,3744 W 6th St,Los Angeles,90020.0,2132499678.0
32,a2,b1987,Kang Ho-dong Baekjeong,3465 W 6th St,Los Angeles,90020.0,2133849678.0,KangHoDong Baek Jeong,3465 W 6th St Ste 20,Los Angeles,90020.0,2133849678.0
34,a2,b2041,Kang Ho-dong Baekjeong,3465 W 6th St,Los Angeles,90020.0,2133849678.0,Sun Nong Dan,3470 W 6th St,Los Angeles,90020.0,2133650303.0
48,a5,b392,EMC Seafood & Raw Bar,3500 W 6th St,Los Angeles,90020.0,2133519988.0,EMC Seafood and Raw Bar,3500 W 6th St,Los Angeles,90020.0,2133519988.0
69,a7,b385,Beer Belly,532 S Western Ave,Los Angeles,90020.0,2133872337.0,Beer Belly,532 S Western Ave,Los Angeles,90020.0,2133872337.0
88,a11,b39,Quarters Korean BBQ,3465 W 6th St,Los Angeles,90020.0,2133658111.0,Cassell's Hamburgers,3600 W 6th St,Los Angeles,90020.0,2133875502.0
89,a11,b162,Quarters Korean BBQ,3465 W 6th St,Los Angeles,90020.0,2133658111.0,Hae Jang Chon Korean BBQ Restaurant,3821 W 6th St,Los Angeles,90020.0,2133898777.0
93,a11,b401,Quarters Korean BBQ,3465 W 6th St,Los Angeles,90020.0,2133658111.0,Quarters,3465 W 6th St,Los Angeles,90020.0,2133658111.0
121,a13,b2019,KyoChon,3833 W 6th St,Los Angeles,90020.0,2137399292.0,Kyochon Chicken,3833 W 6th St,Los Angeles,90020.0,2137399292.0
140,a14,b1443,Han Bat Shul Lung Tang,4163 W 5th St,Los Angeles,90020.0,2133839499.0,Han Bat Shul Lung Tang,4163 W 5th St,Los Angeles,90020.0,2133889499.0
154,a24,b39,Ham Ji Park,3407 W 6th St,Los Angeles,90020.0,2133658773.0,Cassell's Hamburgers,3600 W 6th St,Los Angeles,90020.0,2133875502.0
168,a24,b2300,Ham Ji Park,3407 W 6th St,Los Angeles,90020.0,2133658773.0,Hamjipark,3407 W 6th St,Los Angeles,90020.0,2133658773.0
177,a37,b162,Hangari Bajirak Kalgooksoo,3470 W 6th St,Los Angeles,90020.0,2133882326.0,Hae Jang Chon Korean BBQ Restaurant,3821 W 6th St,Los Angeles,90020.0,2133898777.0
178,a37,b268,Hangari Bajirak Kalgooksoo,3470 W 6th St,Los Angeles,90020.0,2133882326.0,Kang Hodong Baekjeong,3465 W 6th St,Los Angeles,90020.0,2133849678.0
183,a37,b1265,Hangari Bajirak Kalgooksoo,3470 W 6th St,Los Angeles,90020.0,2133882326.0,Hangari Kalguksu,3470 W 6th St suite 9 & 10,Los Angeles,90020.0,2133882326.0
186,a37,b1987,Hangari Bajirak Kalgooksoo,3470 W 6th St,Los Angeles,90020.0,2133882326.0,KangHoDong Baek Jeong,3465 W 6th St Ste 20,Los Angeles,90020.0,2133849678.0
194,a37,b2502,Hangari Bajirak Kalgooksoo,3470 W 6th St,Los Angeles,90020.0,2133882326.0,Sake House by Hikari,3465 W 6th St,Los Angeles,90020.0,2133894000.0
243,a48,b162,Gaam Restaurant and Lounge,3465 W 6th St,Los Angeles,90020.0,2133888850.0,Hae Jang Chon Korean BBQ Restaurant,3821 W 6th St,Los Angeles,90020.0,2133898777.0
246,a48,b392,Gaam Restaurant and Lounge,3465 W 6th St,Los Angeles,90020.0,2133888850.0,EMC Seafood and Raw Bar,3500 W 6th St,Los Angeles,90020.0,2133519988.0
309,a1113,b162,Yuk Dae Jang,3033 W 6th St,Los Angeles,90020.0,2133521331.0,Hae Jang Chon Korean BBQ Restaurant,3821 W 6th St,Los Angeles,90020.0,2133898777.0
310,a1113,b268,Yuk Dae Jang,3033 W 6th St,Los Angeles,90020.0,2133521331.0,Kang Hodong Baekjeong,3465 W 6th St,Los Angeles,90020.0,2133849678.0
331,a1139,b162,Shin Chon Seolnongtang,3033 W 6th St,Los Angeles,90020.0,2133652233.0,Hae Jang Chon Korean BBQ Restaurant,3821 W 6th St,Los Angeles,90020.0,2133898777.0
332,a1139,b268,Shin Chon Seolnongtang,3033 W 6th St,Los Angeles,90020.0,2133652233.0,Kang Hodong Baekjeong,3465 W 6th St,Los Angeles,90020.0,2133849678.0
340,a1139,b1987,Shin Chon Seolnongtang,3033 W 6th St,Los Angeles,90020.0,2133652233.0,KangHoDong Baek Jeong,3465 W 6th St Ste 20,Los Angeles,90020.0,2133849678.0
342,a1139,b2041,Shin Chon Seolnongtang,3033 W 6th St,Los Angeles,90020.0,2133652233.0,Sun Nong Dan,3470 W 6th St,Los Angeles,90020.0,2133650303.0
357,a3,b710,Road To Seoul,1230 S Western Ave,Los Angeles,90006.0,3237319292.0,Road to Seoul,1230 S Western Ave,Los Angeles,90006.0,3237319292.0
371,a12,b1761,El Taurino,1104 S Hoover St,Los Angeles,90006.0,2137389197.0,El Taurino,1104 S Hoover St,Los Angeles,90006.0,2137389197.0
378,a15,b235,Papa Cristo's,2771 W Pico Blvd,Los Angeles,90006.0,3237372970.0,Papa Cristo's Catering & Greek Taverna,2771 W Pico Blvd,Los Angeles,90006.0,3237372970.0
396,a16,b1778,Dino's Chicken and Burgers,2575 W Pico Blvd,Los Angeles,90006.0,2133803554.0,Dino's Chicken and Burgers,2575 W Pico Blvd,Los Angeles,90006.0,2133803554.0
