_id,ltable_id,rtable_id,ltable_name,ltable_address,ltable_city,ltable_zipcode,ltable_phone,rtable_name,rtable_address,rtable_city,rtable_zipcode,rtable_phone,labe
842418,a1853,b1255,The Counter Studio City,12117 Ventura Blvd,Studio City,91604,8189800004.0,The Villa,22160 Ventura Blvd.,Los Angeles,,,0
36618,a1400,b2392,Cafe Vida,9755 Culver Blvd,Culver City,90232,3102870140.0,Cafe Vida,9755 Culver Blvd,Culver City,90232.0,3102870140.0,1
3380,a2092,b1024,Seasalt Fish Grill,812 W 7th St,Los Angeles,90017,2132435700.0,Chipotle Mexican Grill,601 W 7th St,Los Angeles,90017.0,2132832058.0,0
5763,a53,b42,Perch,448 S Hill St,Los Angeles,90013,2138021770.0,Perch,448 S Hill St,Los Angeles,90013.0,2138021770.0,1
14717,a1050,b599,Good Grill Express,210 E Olympic Blvd,Los Angeles,90015,2137492345.0,TRIPLE 8 China Bar & Grill,800 W Olympic Blvd Ste A120,Los Angeles,90015.0,2137473700.0,0
11167,a557,b639,El Compadre,7408 W Sunset Blvd,Los Angeles,90046,3238747924.0,El Pollo Loco,7101 W Sunset Blvd,Los Angeles,90046.0,3238746037.0,0
8448,a629,b912,Andre's Italian Restaurant,6332 W 3rd St,Los Angeles,90036,3239351246.0,Singapore's Banana Leaf,6333 W 3rd St,Los Angeles,90036.0,3239334627.0,0
43772,a1252,b655,Tender Greens,8759 Santa Monica Blvd,West Hollywood,90069,3103581919.0,Tender Greens,8759 Santa Monica Blvd,West Hollywood,90069.0,3103581919.0,1
59185,a2066,b3072,Mama Hong's Vietnamese Kitchen,11819 Wilshire Blvd,Los Angeles,90025,3103127881.0,Maru - Santa Monica,12400 Wilshire Blvd,Los Angeles,90025.0,,0
46911,a358,b3089,Mariscos Jalisco,3040 E Olympic Blvd,Los Angeles,90023,3235286701.0,Mariscos Jalisco,3040 E Olympic Blvd,Los Angeles,90023.0,3235286701.0,1
9465,a475,b405,Cliff's Edge,3626 W Sunset Blvd,Los Angeles,90026,3236666116.0,Cliff's Edge,3626 W Sunset Blvd,Los Angeles,90026.0,3236666116.0,1
3488,a2094,b867,Morton's The Steakhouse,735 S Figueroa St,Los Angeles,90017,2135534566.0,Morton's The Steakhouse,735 S Figueroa St,Los Angeles,90017.0,2135534566.0,1
63423,a2133,b1888,Lemonade,12401 Ventura Blvd,Los Angeles,91604,8189855700.0,Lemonade,12401 Ventura Blvd,Los Angeles,91604.0,8189855700.0,1
2100,a637,b1244,Paper or Plastik Cafe,5772 W Pico Blvd,Los Angeles,90019,3239350268.0,Bloom Cafe,5544 W Pico Blvd,Los Angeles,90019.0,3239346900.0,0
72332,a628,b460,Il Pastaio,400 N Canon Dr,Beverly Hills,90210,3102055444.0,Il Pastaio,400 N Canon Dr,Beverly Hills,90210.0,3102055444.0,1
74910,a749,b901,Maximiliano,5930 York Blvd,Los Angeles,90042,3237396125.0,Maximiliano,5930 York Blvd,Los Angeles,90042.0,3237396125.0,1
80694,a1991,b2798,Kang Kang Food Court,27 E Valley Blvd,Alhambra,91801,6263083898.0,Top Island Seafood Restaurant,740 E Valley Blvd,Alhambra,91801.0,6263009898.0,0
46422,a2033,b1671,Duck House,501 S Atlantic Blvd,Monterey Park,91754,6262843227.0,Duck House,501 S Atlantic Blvd,Monterey Park,91754.0,6262843227.0,1
1634,a204,b1517,PIPS On La Brea,1356 S La Brea Ave,Los Angeles,90019,3239547477.0,Pips on La Brea,1356 S La Brea Ave,Los Angeles,90019.0,3239547477.0,1
75688,a824,b1088,Bayou Grille,1400 N La Brea Ave,Inglewood,90302,3106730824.0,Fiesta Martin Mexican Grill,1330 N La Brea Ave,Inglewood,90302.0,3106721330.0,0
73878,a754,b954,Four Cafe,2122 Colorado Blvd,Los Angeles,90041,3235501988.0,Four Cafe,2122 Colorado Blvd,Los Angeles,90041.0,3235501988.0,1
33634,a2189,b1981,Plaza Cafe,5777 W Century Blvd,Los Angeles,90045,3106457922.0,The Cafe,5711 W Century Blvd,Los Angeles,90045.0,,0
79404,a1711,b2910,Porto Alegre Churrascaria,300 E Colorado Blvd,Pasadena,91101,6267440555.0,Porto Alegre,260 E Colorado Blvd,Pasadena,91101.0,6267440555.0,1
69924,a525,b589,Rockwell Table & Stage,1714 N Vermont Ave,Los Angeles,90027,3236691550.0,The Dresden Room,1760 N Vermont Ave,Los Angeles,90027.0,3236654294.0,0
26107,a1029,b2186,Korean Kitchen Hibachi Barbeque,135 Japanese Village Pl Mall,Los Angeles,90012,2136801039.0,Korean Kitchen Hibachi Barbeque,135 Japanese Village Plaza Mall,Los Angeles,90012.0,2136801039.0,1
46049,a1999,b1470,Happy Family Restaurant,500 N Atlantic Blvd,Monterey Park,91754,6262828986.0,Elite Restaurant,700 S Atlantic Blvd,Monterey Park,91754.0,6262829998.0,0
