_id,ltable_id,rtable_id,ltable_name,ltable_address,ltable_city,ltable_zipcode,ltable_phone,rtable_name,rtable_address,rtable_city,rtable_zipcode,rtable_phone,labe
13313,a170,b160,Fleming's Prime Steakhouse & Wine Bar,800 W Olympic Blvd,Los Angeles,90015,2137459911.0,Fleming's Prime Steakhouse & Wine Bar,800 W Olympic Blvd,Los Angeles,90015.0,2137459911.0,1
56693,a1522,b895,La Cabana Restaurant,738 Rose Ave,Venice,90291,3103927973.0,La Cabana Restaurant,738 Rose Ave,Los Angeles,90291.0,3103926161.0,1
60669,a1154,b2544,The Backhouse,10915 W Pico Blvd,Los Angeles,90064,3104816800.0,The Main Course,10509 W Pico Blvd,Los Angeles,90064.0,3104757564.0,0
80741,a1993,b2748,Shakas Hawaiian Flavors,101 W Main St,Alhambra,91801,6262935520.0,Shakas Hawaiian Flavors,101 W Main St,Alhambra,91801.0,6262935520.0,1
692003,a927,b751,The Warehouse Restaurant,4499 Admiralty Way,Marina Del Rey,90292,3108235451.0,Ports O'Call Waterfront Dining,1200 Nagoya Way,Los Angeles,,3108333553.0,0
783,a25,b2113,Eight Korean BBQ,863 S Western Ave,Los Angeles,90005,2133651750.0,Eight Korean BBQ,863 S Western Ave,Los Angeles,90005.0,2133651750.0,1
64810,a467,b1205,Lamonica's New York Pizza,1066 Gayley Ave,Los Angeles,90024,3102088671.0,Lamonica's New York Pizza,1066 Gayley Ave,Los Angeles,90024.0,3102088671.0,1
860389,a1962,b3078,Kopan Ramen - Alhambra,645 E Main St,Alhambra,91801,6264588388.0,Alondra Hotwings,515 Main Street,Alhambra,,,0
36422,a424,b554,Tender Greens,9523 Culver Blvd,Culver City,90232,3108428300.0,Tender Greens,9523 Culver Blvd,Culver City,90232.0,3108428300.0,1
31956,a935,b1115,Paco's Tacos,6212 W Manchester Ave,Los Angeles,90045,3106458692.0,Benny's Tacos & Chicken Rotisserie,7101 W Manchester Ave,Los Angeles,90045.0,3106708226.0,0
51145,a2050,b2268,Pollo Campero,5547 W Sunset Blvd,Los Angeles,90028,3234656927.0,Mission Cantina,5946 W Sunset Blvd,West Hollywood,90028.0,3234693130.0,0
54249,a2392,b1170,Trejo's Cantina - Hollywood,1556 N Cahuenga Blvd,Los Angeles,90028,3234618226.0,Saint Felix Hollywood,1602 N Cahuenga Blvd,West Hollywood,90028.0,3234695001.0,0
74663,a1784,b2835,Le Pain Quotidien,730 Americana Way,Glendale,91210,8188395230.0,Le Pain Quotidien,730 Americana Way,Glendale,91210.0,8188395230.0,1
61420,a1811,b748,Crave Cafe,11992 Ventura Blvd,Studio City,91604,8187639000.0,Bollywood Cafe,11101 Ventura Blvd,Los Angeles,91604.0,8185088400.0,0
37213,a642,b1202,Tagine Beverly Hills,132 N Robertson Blvd,Beverly Hills,90211,3103607535.0,Tagine,132 N Robertson Blvd,Beverly Hills,90211.0,3103607535.0,1
67868,a1191,b70,Ajisen Ramen,10250 Santa Monica Blvd,Los Angeles,90067,3105561188.0,RockSugar Pan Asian Kitchen,10250 Santa Monica Blvd,Los Angeles,90067.0,3105529988.0,0
835871,a1813,b1462,Barrel & Ashes,11801 Ventura Blvd,Studio City,91604,8186238883.0,Take A Bao,11838 Ventura Boulevard,Los Angeles,,,0
71884,a474,b983,Red Lion Tavern,2366 Glendale Blvd,Los Angeles,90039,3236625337.0,Red Lion Tavern,2366 Glendale Blvd,Los Angeles,90039.0,3236625337.0,1
