_id,ltable_id,rtable_id,ltable_name,ltable_address,ltable_city,ltable_zipcode,ltable_phone,rtable_name,rtable_address,rtable_city,rtable_zipcode,rtable_phone
23,a2,b162,Kang Ho-dong Baekjeong,3465 W 6th St,Los Angeles,90020.0,2133849678.0,Hae Jang Chon Korean BBQ Restaurant,3821 W 6th St,Los Angeles,90020.0,2133898777.0
32,a2,b1987,Kang Ho-dong Baekjeong,3465 W 6th St,Los Angeles,90020.0,2133849678.0,KangHoDong Baek Jeong,3465 W 6th St Ste 20,Los Angeles,90020.0,2133849678.0
168,a24,b2300,Ham Ji Park,3407 W 6th St,Los Angeles,90020.0,2133658773.0,Hamjipark,3407 W 6th St,Los Angeles,90020.0,2133658773.0
178,a37,b268,Hangari Bajirak Kalgooksoo,3470 W 6th St,Los Angeles,90020.0,2133882326.0,Kang Hodong Baekjeong,3465 W 6th St,Los Angeles,90020.0,2133849678.0
371,a12,b1761,El Taurino,1104 S Hoover St,Los Angeles,90006.0,2137389197.0,El Taurino,1104 S Hoover St,Los Angeles,90006.0,2137389197.0
378,a15,b235,Papa Cristo's,2771 W Pico Blvd,Los Angeles,90006.0,3237372970.0,Papa Cristo's Catering & Greek Taverna,2771 W Pico Blvd,Los Angeles,90006.0,3237372970.0
440,a28,b610,Beverly Soon Tofu Restaurant,2717 W Olympic Blvd,Los Angeles,90006.0,2133801113.0,Beverly Soon Tofu,2717 W Olympic Blvd Ste 108,Los Angeles,90006.0,2133801113.0
495,a49,b2784,Hodori Restaurant,1001 S Vermont Ave,Los Angeles,90006.0,2133833554.0,A-Won Japanese Restaurant,913 S Vermont Ave,Los Angeles,90006.0,2133896764.0
737,a18,b1914,Moodaepo II,3014 W 7th St,Los Angeles,90005.0,2133819990.0,Moodaepo II,3014 W 7th St,Los Angeles,90005.0,2133819990.0
763,a22,b2187,Oo-Kook Korean BBQ,3385 W 8th St,Los Angeles,90005.0,2133855665.0,Man Soo Korean BBQ,3423 W 8th St # 3429,Los Angeles,90005.0,2133889494.0
899,a153,b775,Taylor's Steakhouse,3361 W 8th St,Los Angeles,90005.0,2133828449.0,Taylor's Steakhouse,3361 W 8th St,Los Angeles,90005.0,2133828449.0
1277,a8,b372,BCD Tofu House,3575 Wilshire Blvd,Los Angeles,90010.0,2133826677.0,BCD Tofu House,3575 Wilshire Blvd,Los Angeles,90010.0,2133826677.0
1464,a191,b140,Roscoe's House of Chicken & Waffles,5006 W Pico Blvd,Los Angeles,90019.0,3239344405.0,Roscoe's House of Chicken & Waffles,5006 W Pico Blvd,Los Angeles,90019.0,3239344405.0
1560,a194,b1768,Bloom Cafe,5544 W Pico Blvd,Los Angeles,90019.0,3239346900.0,The Grain Cafe,4222 W Pico Blvd,Los Angeles,90019.0,3239314034.0
2100,a637,b1244,Paper or Plastik Cafe,5772 W Pico Blvd,Los Angeles,90019.0,3239350268.0,Bloom Cafe,5544 W Pico Blvd,Los Angeles,90019.0,3239346900.0
2106,a637,b1768,Paper or Plastik Cafe,5772 W Pico Blvd,Los Angeles,90019.0,3239350268.0,The Grain Cafe,4222 W Pico Blvd,Los Angeles,90019.0,3239314034.0
2143,a656,b471,Trejo's Tacos,1048 S La Brea Ave,Los Angeles,90019.0,3239388226.0,Trejo's Tacos,1048 S La Brea Ave,Los Angeles,90019.0,3239388226.0
2431,a59,b138,Original Pantry Cafe,877 S Figueroa St,Los Angeles,90017.0,2139729279.0,The Original Pantry,877 S Figueroa St,Los Angeles,90017.0,2139729279.0
2544,a75,b340,Takami Sushi & Robata Restaurant,811 Wilshire Blvd,Los Angeles,90017.0,2132369600.0,Takami Sushi and Robata,811 Wilshire Blvd,Los Angeles,90017.0,2132369600.0
2624,a81,b1466,Library Bar,630 W 6th St,Los Angeles,90017.0,2136140053.0,Library Bar,630 W 6th St,Los Angeles,90017.0,2136140053.0
2826,a1099,b781,Pacific Dining Car,1310 W 6th St,Los Angeles,90017.0,2134836000.0,Spear Steak & Seafood House,800 W 6th St,Los Angeles,90017.0,2136883000.0
3884,a2101,b1318,California Pizza Kitchen at 7th Street Los Angeles,735 S Figueroa St,Los Angeles,90017.0,2132288500.0,California Pizza Kitchen,735 S Figueroa St,Los Angeles,90017.0,2132288500.0
5280,a62,b325,Osteria Mozza,6602 Melrose Ave,Los Angeles,90038.0,3232970100.0,Osteria Mamma,5732 Melrose Ave,Los Angeles,90038.0,3234663740.0
5304,a62,b1468,Osteria Mozza,6602 Melrose Ave,Los Angeles,90038.0,3232970100.0,Mozza 2 Go,6610 Melrose Ave,Los Angeles,90038.0,3232971130.0
5500,a268,b325,Osteria Mamma,5732 Melrose Ave,Los Angeles,90038.0,3232847060.0,Osteria Mamma,5732 Melrose Ave,Los Angeles,90038.0,3234663740.0
5503,a268,b391,Osteria Mamma,5732 Melrose Ave,Los Angeles,90038.0,3232847060.0,Osteria La Buca,5210 1/2 Melrose Ave,Los Angeles,90038.0,3234621900.0
5598,a559,b691,Anarkali Indian Restaurant,7013 Melrose Ave,Los Angeles,90038.0,3239346488.0,The Larchmont,5750 Melrose Ave,Los Angeles,90038.0,3234644277.0
5614,a559,b1812,Anarkali Indian Restaurant,7013 Melrose Ave,Los Angeles,90038.0,3239346488.0,LA Fonda Antioquena,5125 Melrose Ave,Los Angeles,90038.0,3239575164.0
5896,a61,b45,Bäco Mercat,408 S Main St,Los Angeles,90013.0,2136878808.0,Baco Mercat,408 S Main St,Los Angeles,90013.0,2136877000.0
5917,a61,b890,Bäco Mercat,408 S Main St,Los Angeles,90013.0,2136878808.0,Blossom Restaurant,426 S Main St,Los Angeles,90013.0,2136231973.0
6043,a67,b722,KazuNori  | The Original Hand Roll Bar,421 S Main St,Los Angeles,90013.0,2134936956.0,KazuNori,421 S Main St,Los Angeles,90013.0,2134936956.0
6141,a72,b2211,Maccheroni Republic,332 S Broadway,Los Angeles,90013.0,2133469725.0,Madcapra,317 S Broadway,Los Angeles,90013.0,
6428,a161,b211,Shojin Downtown,333 S Alameda St,Los Angeles,90013.0,2136170305.0,Shojin Organic and Natural,333 S Alameda St Ste 310,Los Angeles,90013.0,2136170305.0
6821,a188,b49,The Factory Kitchen,1300 Factory Pl,Los Angeles,90013.0,2139966000.0,The Factory Kitchen,1300 Factory Pl Ste 101,Los Angeles,90013.0,2139966000.0
7644,a556,b256,Bludso's Bar & Que,609 N La Brea Ave,Los Angeles,90036.0,3239312583.0,Bludsos,609 N La Brea Ave,Los Angeles,90036.0,3239312583.0
8035,a620,b290,Pampas Grill,6333 W 3rd St,Los Angeles,90036.0,3239311928.0,Phil s Deli & Grill,6333 W 3rd St,Los Angeles,90036.0,3239363704.0
8346,a626,b826,Mendocino Farms,175 S Fairfax Ave,Los Angeles,90036.0,3239344261.0,Mendocino Farms,175 S Fairfax Ave,Los Angeles,90036.0,3239344261.0
8421,a629,b258,Andre's Italian Restaurant,6332 W 3rd St,Los Angeles,90036.0,3239351246.0,Du-par's Restaurant & Bakery,6333 W 3rd St,Los Angeles,90036.0,3239338446.0
8513,a641,b116,Wood Ranch BBQ & Grill,189 The Grove Dr,Los Angeles,90036.0,3239376800.0,Wood Ranch BBQ & Grill,189 The Grove Dr,Los Angeles,90036.0,3239376800.0
8524,a641,b393,Wood Ranch BBQ & Grill,189 The Grove Dr,Los Angeles,90036.0,3239376800.0,Blue Ribbon Sushi Bar & Grill,189 The Grove Dr,Los Angeles,90036.0,3233529300.0
8587,a641,b2533,Wood Ranch BBQ & Grill,189 The Grove Dr,Los Angeles,90036.0,3239376800.0,Morels French Steak House,189 The Grove Dr Ste H10,Los Angeles,90036.0,3239659595.0
8602,a645,b17,Loteria Grill,6333 W 3rd St,Los Angeles,90036.0,3239302211.0,Pampas Grill,6333 W 3rd St,Los Angeles,90036.0,3239346680.0
8722,a647,b448,Angelini Osteria,7313 Beverly Blvd,Los Angeles,90036.0,3232970070.0,Terroni,7605 Beverly Blvd,Los Angeles,90036.0,3239540300.0
8738,a647,b876,Angelini Osteria,7313 Beverly Blvd,Los Angeles,90036.0,3232970070.0,Petty Cash Taqueria,7360 Beverly Blvd,Los Angeles,90036.0,3239335300.0
8814,a649,b313,The Golden State,426 N Fairfax Ave,Los Angeles,90036.0,3237828331.0,The Golden State,426 N Fairfax Ave,Los Angeles,90036.0,3237828331.0
8907,a651,b261,El Coyote Mexican Cafe,7312 Beverly Blvd,Los Angeles,90036.0,3239392255.0,El Coyote,7312 Beverly Blvd,Los Angeles,90036.0,3239392255.0
8965,a651,b2156,El Coyote Mexican Cafe,7312 Beverly Blvd,Los Angeles,90036.0,3239392255.0,Lulu's Cafe,7149 Beverly Blvd,Los Angeles,90036.0,3239386095.0
9059,a652,b2013,Yuko Kitchen,5484 Wilshire Blvd,Los Angeles,90036.0,3239334020.0,Spare Tire Kitchen & Tavern,5370 Wilshire Blvd,Los Angeles,90036.0,3238234890.0
9194,a70,b106,Mohawk Bend,2141 W Sunset Blvd,Los Angeles,90026.0,2134832337.0,Mohawk Bend,2141 W Sunset Blvd,Los Angeles,90026.0,2134832337.0
9483,a475,b1702,Cliff's Edge,3626 W Sunset Blvd,Los Angeles,90026.0,3236666116.0,Forage,3823 W Sunset Blvd,Los Angeles,90026.0,3236636885.0
