_id,ltable_id,rtable_id,ltable_name,ltable_address,ltable_city,ltable_zipcode,ltable_phone,rtable_name,rtable_address,rtable_city,rtable_zipcode,rtable_phone,labe
1,a1,b162,Hae Jang Chon Korean BBQ Restaurant,3821 W 6th St,Los Angeles,90020,2133898777,Hae Jang Chon Korean BBQ Restaurant,3821 W 6th St,Los Angeles,90020,2133898777,1
23,a2,b162,Kang Ho-dong Baekjeong,3465 W 6th St,Los Angeles,90020,2133849678,Hae Jang Chon Korean BBQ Restaurant,3821 W 6th St,Los Angeles,90020,2133898777,0
24,a2,b268,Kang Ho-dong Baekjeong,3465 W 6th St,Los Angeles,90020,2133849678,Kang Hodong Baekjeong,3465 W 6th St,Los Angeles,90020,2133849678,1
32,a2,b1987,Kang Ho-dong Baekjeong,3465 W 6th St,Los Angeles,90020,2133849678,KangHoDong Baek Jeong,3465 W 6th St Ste 20,Los Angeles,90020,2133849678,1
177,a37,b162,Hangari Bajirak Kalgooksoo,3470 W 6th St,Los Angeles,90020,2133882326,Hae Jang Chon Korean BBQ Restaurant,3821 W 6th St,Los Angeles,90020,2133898777,0
186,a37,b1987,Hangari Bajirak Kalgooksoo,3470 W 6th St,Los Angeles,90020,2133882326,KangHoDong Baek Jeong,3465 W 6th St Ste 20,Los Angeles,90020,2133849678,0
194,a37,b2502,Hangari Bajirak Kalgooksoo,3470 W 6th St,Los Angeles,90020,2133882326,Sake House by Hikari,3465 W 6th St,Los Angeles,90020,2133894000,0
340,a1139,b1987,Shin Chon Seolnongtang,3033 W 6th St,Los Angeles,90020,2133652233,KangHoDong Baek Jeong,3465 W 6th St Ste 20,Los Angeles,90020,2133849678,0
357,a3,b710,Road To Seoul,1230 S Western Ave,Los Angeles,90006,3237319292,Road to Seoul,1230 S Western Ave,Los Angeles,90006,3237319292,1
401,a20,b188,Guelaguetza Restaurante,3014 W Olympic Blvd,Los Angeles,90006,2134270608,Guelaguetza,3014 W Olympic Blvd,Los Angeles,90006,2134270608,1
440,a28,b610,Beverly Soon Tofu Restaurant,2717 W Olympic Blvd,Los Angeles,90006,2133801113,Beverly Soon Tofu,2717 W Olympic Blvd Ste 108,Los Angeles,90006,2133801113,1
495,a49,b2784,Hodori Restaurant,1001 S Vermont Ave,Los Angeles,90006,2133833554,A-Won Japanese Restaurant,913 S Vermont Ave,Los Angeles,90006,2133896764,0
568,a4,b7,Langer's,704 S Alvarado St,Los Angeles,90057,2134838050,Langer's,704 S Alvarado St,Los Angeles,90057,2134838050,1
693,a6,b1353,Soowon Galbi KBBQ Restaurant,856 S Vermont Ave,Los Angeles,90005,2133659292,Kobawoo Restaurant,698 S Vermont Ave Ste 109,Los Angeles,90005,2133897300,0
763,a22,b2187,Oo-Kook Korean BBQ,3385 W 8th St,Los Angeles,90005,2133855665,Man Soo Korean BBQ,3423 W 8th St # 3429,Los Angeles,90005,2133889494,0
783,a25,b2113,Eight Korean BBQ,863 S Western Ave,Los Angeles,90005,2133651750,Eight Korean BBQ,863 S Western Ave,Los Angeles,90005,2133651750,1
