_id,id_a,id_b,name_a,name_b,city,zipcode,address,phone,category_1,category_2,category_3,category_4,price_a,rating_a,review_count_a,price_b,rating_b,review_count_b,hours_sun_open,hours_sun_close,hours_mon_open,hours_mon_close,hours_tue_open,hours_tue_close,hours_wed_open,hours_wed_close,hours_thu_open,hours_thu_close,hours_fri_open,hours_fri_close,hours_sat_open,hours_sat_close
1,a1,b162,Hae Jang Chon Korean BBQ Restaurant,Hae Jang Chon Korean BBQ Restaurant,Los Angeles,90020.0,3821 W 6th St,2133898777.0,Barbecue,Asian,korean,barbeque,2.0,4.0,3970,2.5,4.5,78,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0
24,a2,b268,Kang Ho-dong Baekjeong,Kang Hodong Baekjeong,Los Angeles,90020.0,3465 W 6th St,2133849678.0,Barbecue,Asian,barbeque,korean,2.0,4.5,3533,2.5,4.5,113,1130.0,130.0,1130.0,130.0,1130.0,130.0,1130.0,130.0,1130.0,130.0,1130.0,130.0,1130.0,130.0
32,a2,b1987,Kang Ho-dong Baekjeong,KangHoDong Baek Jeong,Los Angeles,90020.0,3465 W 6th St,2133849678.0,Korean,Barbecue,barbeque,korean,2.0,4.5,3533,2.5,4.0,26,1130.0,130.0,1130.0,130.0,1130.0,130.0,1130.0,130.0,1130.0,130.0,1130.0,130.0,1130.0,130.0
48,a5,b392,EMC Seafood & Raw Bar,EMC Seafood and Raw Bar,Los Angeles,90020.0,3500 W 6th St,2133519988.0,Seafood,,seafood,live/raw food,2.0,4.0,2890,2.5,4.5,73,1100.0,1400.0,1600.0,2400.0,1100.0,1400.0,1600.0,2400.0,1100.0,1400.0,1600.0,200.0,1100.0,1400.0
69,a7,b385,Beer Belly,Beer Belly,Los Angeles,90020.0,532 S Western Ave,2133872337.0,American,International,gastropubs,american (new),2.0,4.0,2165,2.5,4.0,109,1700.0,2300.0,1700.0,2300.0,1130.0,2400.0,1130.0,2400.0,1130.0,100.0,1130.0,100.0,1130.0,2300.0
93,a11,b401,Quarters Korean BBQ,Quarters,Los Angeles,90020.0,3465 W 6th St,2133658111.0,Barbecue,Asian,korean,barbeque,2.0,4.0,1849,2.5,4.5,74,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0
121,a13,b2019,KyoChon,Kyochon Chicken,Los Angeles,90020.0,3833 W 6th St,2137399292.0,Asian,Korean,korean,chicken wings,2.0,3.5,1819,1.0,4.0,25,1100.0,2245.0,1100.0,2245.0,1100.0,2245.0,1100.0,2245.0,1100.0,145.0,1100.0,145.0,1100.0,2245.0
140,a14,b1443,Han Bat Shul Lung Tang,Han Bat Shul Lung Tang,Los Angeles,90020.0,4163 W 5th St,2133839499.0,Asian,Korean,korean,comfort food,1.0,4.5,1725,1.0,4.5,20,700.0,2200.0,700.0,2200.0,700.0,2200.0,700.0,2200.0,700.0,2200.0,700.0,2200.0,700.0,2200.0
168,a24,b2300,Ham Ji Park,Hamjipark,Los Angeles,90020.0,3407 W 6th St,2133658773.0,Asian,Korean,korean,barbeque,2.0,4.0,1308,2.5,4.5,15,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0,1600.0,2200.0
357,a3,b710,Road To Seoul,Road to Seoul,Los Angeles,90006.0,1230 S Western Ave,3237319292.0,Barbecue,Asian,korean,barbeque,2.0,4.0,3327,2.5,4.0,70,1100.0,2400.0,1100.0,2400.0,1100.0,2400.0,1100.0,2400.0,1100.0,100.0,1100.0,100.0,1100.0,2300.0
371,a12,b1761,El Taurino,El Taurino,Los Angeles,90006.0,1104 S Hoover St,2137389197.0,Mexican,Latin,mexican,,1.0,3.5,1868,1.0,4.0,42,830.0,300.0,830.0,300.0,830.0,300.0,830.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0
378,a15,b235,Papa Cristo's,Papa Cristo's Catering & Greek Taverna,Los Angeles,90006.0,2771 W Pico Blvd,3237372970.0,Mediterranean,Greek,greek,mediterranean,2.0,4.5,1685,2.5,4.5,97,930.0,1500.0,930.0,2000.0,930.0,2000.0,930.0,2000.0,930.0,2000.0,900.0,1600.0,1000.0,2000.0
396,a16,b1778,Dino's Chicken and Burgers,Dino's Chicken and Burgers,Los Angeles,90006.0,2575 W Pico Blvd,2133803554.0,Mexican,American,burgers,mexican,1.0,4.0,1743,1.0,4.5,20,600.0,2300.0,600.0,2300.0,600.0,2300.0,600.0,2300.0,600.0,2400.0,600.0,2400.0,700.0,2300.0
401,a20,b188,Guelaguetza Restaurante,Guelaguetza,Los Angeles,90006.0,3014 W Olympic Blvd,2134270608.0,Mexican,Latin,mexican,,2.0,4.0,1552,2.5,4.5,127,900.0,2200.0,900.0,2200.0,900.0,2200.0,900.0,2200.0,900.0,2300.0,800.0,2300.0,800.0,2200.0
