id,name,city,zipcode,address,phone,category,category_loc,category_food,price,rating,review_count,price_yelp,rating_yelp,review_count_yelp,price_trip,rating_trip,review_count_trip,hours_sun_open,hours_sun_close,hours_mon_open,hours_mon_close,hours_tue_open,hours_tue_close,hours_wed_open,hours_wed_close,hours_thu_open,hours_thu_close,hours_fri_open,hours_fri_close,hours_sat_open,hours_sat_close
0,Hae Jang Chon Korean BBQ Restaurant,Los Angeles,90020.0,3821 W 6th St,2133898777.0,barbecue,korean,barbecue,2.0,4.25,4048,2.0,4.0,3970,2.5,4.5,78,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0
1,Kang Hodong Baekjeong,Los Angeles,90020.0,3465 W 6th St,2133849678.0,barbecue,korean,barbecue,2.0,4.5,3646,2.0,4.5,3533,2.5,4.5,113,1130.0,130.0,1130.0,130.0,1130.0,130.0,1130.0,130.0,1130.0,130.0,1130.0,130.0,1130.0,130.0
3,EMC Seafood and Raw Bar,Los Angeles,90020.0,3500 W 6th St,2133519988.0,seafood,other,seafood,2.0,4.25,2963,2.0,4.0,2890,2.5,4.5,73,1100.0,1400.0,1600.0,2400.0,1100.0,1400.0,1600.0,2400.0,1100.0,1400.0,1600.0,200.0,1100.0,1400.0
4,Beer Belly,Los Angeles,90020.0,532 S Western Ave,2133872337.0,american,american,other,2.0,4.0,2274,2.0,4.0,2165,2.5,4.0,109,1700.0,2300.0,1700.0,2300.0,1130.0,2400.0,1130.0,2400.0,1130.0,100.0,1130.0,100.0,1130.0,2300.0
5,Quarters,Los Angeles,90020.0,3465 W 6th St,2133658111.0,barbecue,korean,barbecue,2.0,4.25,1923,2.0,4.0,1849,2.5,4.5,74,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0
6,Kyochon Chicken,Los Angeles,90020.0,3833 W 6th St,2137399292.0,korean,korean,other,2.0,3.75,1844,2.0,3.5,1819,1.0,4.0,25,1100.0,2245.0,1100.0,2245.0,1100.0,2245.0,1100.0,2245.0,1100.0,145.0,1100.0,145.0,1100.0,2245.0
7,Han Bat Shul Lung Tang,Los Angeles,90020.0,4163 W 5th St,2133839499.0,korean,korean,other,1.0,4.5,1745,1.0,4.5,1725,1.0,4.5,20,700.0,2200.0,700.0,2200.0,700.0,2200.0,700.0,2200.0,700.0,2200.0,700.0,2200.0,700.0,2200.0
8,Hamjipark,Los Angeles,90020.0,3407 W 6th St,2133658773.0,barbecue,korean,barbecue,2.0,4.25,1323,2.0,4.0,1308,2.5,4.5,15,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0,1600.0,2200.0
9,Road to Seoul,Los Angeles,90006.0,1230 S Western Ave,3237319292.0,barbecue,korean,barbecue,2.0,4.0,3397,2.0,4.0,3327,2.5,4.0,70,1100.0,2400.0,1100.0,2400.0,1100.0,2400.0,1100.0,2400.0,1100.0,100.0,1100.0,100.0,1100.0,2300.0
10,El Taurino,Los Angeles,90006.0,1104 S Hoover St,2137389197.0,mexican,mexican,other,1.0,3.75,1910,1.0,3.5,1868,1.0,4.0,42,830.0,300.0,830.0,300.0,830.0,300.0,830.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0
11,Papa Cristo's Catering & Greek Taverna,Los Angeles,90006.0,2771 W Pico Blvd,3237372970.0,mediterranean,mediterranean,other,2.0,4.5,1782,2.0,4.5,1685,2.5,4.5,97,930.0,1500.0,930.0,2000.0,930.0,2000.0,930.0,2000.0,930.0,2000.0,900.0,1600.0,1000.0,2000.0
12,Dino's Chicken and Burgers,Los Angeles,90006.0,2575 W Pico Blvd,2133803554.0,burger,american,burger,1.0,4.25,1763,1.0,4.0,1743,1.0,4.5,20,600.0,2300.0,600.0,2300.0,600.0,2300.0,600.0,2300.0,600.0,2400.0,600.0,2400.0,700.0,2300.0
13,Guelaguetza,Los Angeles,90006.0,3014 W Olympic Blvd,2134270608.0,mexican,mexican,other,2.0,4.25,1679,2.0,4.0,1552,2.5,4.5,127,900.0,2200.0,900.0,2200.0,900.0,2200.0,900.0,2200.0,900.0,2300.0,800.0,2300.0,800.0,2200.0
14,Park's BBQ,Los Angeles,90006.0,955 S Vermont Ave,2133801717.0,barbecue,korean,barbecue,3.0,4.25,1480,3.0,4.0,1412,2.5,4.5,68,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0,1100.0,2400.0,1100.0,2400.0,1100.0,2400.0,1100.0,2300.0
