id,name,city,zipcode,address,phone,category,category_loc,category_food,price,rating,review_count,hours_sun_open,hours_sun_close,hours_mon_open,hours_mon_close,hours_tue_open,hours_tue_close,hours_wed_open,hours_wed_close,hours_thu_open,hours_thu_close,hours_fri_open,hours_fri_close,hours_sat_open,hours_sat_close
0,Hae Jang Chon Korean BBQ Restaurant,Los Angeles,90020.0,3821 W 6th St,2133898777.0,barbecue,korean,barbecue,2.25,4.25,4048,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0
1,Kang Hodong Baekjeong,Los Angeles,90020.0,3465 W 6th St,2133849678.0,barbecue,korean,barbecue,2.25,4.5,3646,1130.0,130.0,1130.0,130.0,1130.0,130.0,1130.0,130.0,1130.0,130.0,1130.0,130.0,1130.0,130.0
3,EMC Seafood and Raw Bar,Los Angeles,90020.0,3500 W 6th St,2133519988.0,seafood,other,seafood,2.25,4.25,2963,1100.0,1400.0,1600.0,2400.0,1100.0,1400.0,1600.0,2400.0,1100.0,1400.0,1600.0,200.0,1100.0,1400.0
4,Beer Belly,Los Angeles,90020.0,532 S Western Ave,2133872337.0,american,american,other,2.25,4.0,2274,1700.0,2300.0,1700.0,2300.0,1130.0,2400.0,1130.0,2400.0,1130.0,100.0,1130.0,100.0,1130.0,2300.0
5,Quarters,Los Angeles,90020.0,3465 W 6th St,2133658111.0,barbecue,korean,barbecue,2.25,4.25,1923,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0
6,Kyochon Chicken,Los Angeles,90020.0,3833 W 6th St,2137399292.0,korean,korean,other,1.5,3.75,1844,1100.0,2245.0,1100.0,2245.0,1100.0,2245.0,1100.0,2245.0,1100.0,145.0,1100.0,145.0,1100.0,2245.0
7,Han Bat Shul Lung Tang,Los Angeles,90020.0,4163 W 5th St,2133839499.0,korean,korean,other,1.0,4.5,1745,700.0,2200.0,700.0,2200.0,700.0,2200.0,700.0,2200.0,700.0,2200.0,700.0,2200.0,700.0,2200.0
8,Hamjipark,Los Angeles,90020.0,3407 W 6th St,2133658773.0,barbecue,korean,barbecue,2.25,4.25,1323,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0,1600.0,2200.0
9,Road to Seoul,Los Angeles,90006.0,1230 S Western Ave,3237319292.0,barbecue,korean,barbecue,2.25,4.0,3397,1100.0,2400.0,1100.0,2400.0,1100.0,2400.0,1100.0,2400.0,1100.0,100.0,1100.0,100.0,1100.0,2300.0
10,El Taurino,Los Angeles,90006.0,1104 S Hoover St,2137389197.0,mexican,mexican,other,1.0,3.75,1910,830.0,300.0,830.0,300.0,830.0,300.0,830.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0
11,Papa Cristo's Catering & Greek Taverna,Los Angeles,90006.0,2771 W Pico Blvd,3237372970.0,mediterranean,mediterranean,other,2.25,4.5,1782,930.0,1500.0,930.0,2000.0,930.0,2000.0,930.0,2000.0,930.0,2000.0,900.0,1600.0,1000.0,2000.0
12,Dino's Chicken and Burgers,Los Angeles,90006.0,2575 W Pico Blvd,2133803554.0,burger,american,burger,1.0,4.25,1763,600.0,2300.0,600.0,2300.0,600.0,2300.0,600.0,2300.0,600.0,2400.0,600.0,2400.0,700.0,2300.0
13,Guelaguetza,Los Angeles,90006.0,3014 W Olympic Blvd,2134270608.0,mexican,mexican,other,2.25,4.25,1679,900.0,2200.0,900.0,2200.0,900.0,2200.0,900.0,2200.0,900.0,2300.0,800.0,2300.0,800.0,2200.0
14,Park's BBQ,Los Angeles,90006.0,955 S Vermont Ave,2133801717.0,barbecue,korean,barbecue,2.75,4.25,1480,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0,1100.0,2400.0,1100.0,2400.0,1100.0,2400.0,1100.0,2300.0
15,Beverly Soon Tofu,Los Angeles,90006.0,2717 W Olympic Blvd,2133801113.0,korean,korean,other,1.5,4.25,1279,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2230.0,1100.0,2230.0,1100.0,2230.0
16,El Cholo Restaurant,Los Angeles,90006.0,1121 S Western Ave,3237342773.0,mexican,mexican,other,2.25,3.75,1420,1100.0,2100.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2300.0,1100.0,2300.0,1100.0,2100.0
17,Hodori Restaurant,Los Angeles,90006.0,1001 S Vermont Ave,2133833554.0,korean,korean,other,1.5,3.75,928,1200.0,2359.0,1200.0,2359.0,1200.0,2359.0,1200.0,2359.0,1200.0,2359.0,1200.0,2359.0,1200.0,2359.0
18,Langer's,Los Angeles,90057.0,704 S Alvarado St,2134838050.0,american,american,other,2.25,4.5,3885,800.0,1600.0,800.0,1600.0,800.0,1600.0,800.0,1600.0,800.0,1600.0,800.0,1600.0,800.0,1600.0
19,Tommy's Original Hamburger,Los Angeles,90057.0,2575 Beverly Blvd,2133899060.0,fast food,american,fast food,1.0,4.25,1209,,,,,,,,,,,,,,
20,Soowon Galbi,Los Angeles,90005.0,856 S Vermont Ave,2133659292.0,barbecue,korean,barbecue,2.25,4.5,2290,1130.0,2230.0,1130.0,2230.0,1130.0,2230.0,1130.0,2230.0,1130.0,2300.0,1130.0,2300.0,1200.0,2230.0
21,Slurpin' Ramen Bar,Los Angeles,90005.0,3500 W 8th St,2133888607.0,japanese,japanese,ramen,1.5,4.5,2267,1130.0,100.0,1130.0,100.0,1130.0,100.0,1130.0,100.0,1130.0,100.0,1130.0,100.0,1130.0,100.0
22,Moodaepo II,Los Angeles,90005.0,3014 W 7th St,2133819990.0,barbecue,korean,barbecue,2.0,4.0,1554,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0,1100.0,200.0
23,Oo Kook Korean BBQ,Los Angeles,90005.0,3385 W 8th St,2133855665.0,barbecue,korean,barbecue,2.25,4.0,1529,1100.0,2400.0,1100.0,2400.0,1100.0,2400.0,1100.0,2400.0,1100.0,2400.0,1100.0,2400.0,1100.0,2400.0
24,Eight Korean BBQ,Los Angeles,90005.0,863 S Western Ave,2133651750.0,barbecue,korean,barbecue,2.25,4.5,1330,1130.0,2400.0,1130.0,2400.0,1130.0,2400.0,1130.0,2400.0,1130.0,200.0,1130.0,200.0,1130.0,2400.0
26,Kobawoo Restaurant,Los Angeles,90005.0,698 S Vermont Ave,2133897300.0,korean,korean,other,2.25,4.5,1026,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0
27,Caffe Concerto,Los Angeles,90005.0,610 S Serrano Ave,2137380909.0,cafe,italian,cafe,2.25,4.25,1028,1000.0,2400.0,1000.0,2400.0,1000.0,2400.0,1000.0,2400.0,1000.0,100.0,900.0,100.0,900.0,2400.0
28,Honey Pig,Los Angeles,90005.0,3400 W 8th St,2133800256.0,barbecue,korean,barbecue,2.25,3.75,903,1100.0,100.0,1100.0,100.0,1100.0,100.0,1100.0,100.0,1100.0,100.0,1100.0,100.0,1100.0,100.0
29,Taylor's Steakhouse,Los Angeles,90005.0,3361 W 8th St,2133828449.0,steakhouse,american,steakhouse,3.5,4.0,1037,1130.0,2130.0,1130.0,2130.0,1130.0,2130.0,1130.0,2130.0,1130.0,2230.0,1600.0,2230.0,1600.0,2130.0
30,BCD Tofu House,Los Angeles,90010.0,3575 Wilshire Blvd,2133826677.0,korean,korean,other,2.25,3.75,2323,1200.0,2359.0,1200.0,2359.0,1200.0,2359.0,1200.0,2359.0,1200.0,2359.0,1200.0,2359.0,1200.0,2359.0
31,The Boiling Crab,Los Angeles,90010.0,3377 Wilshire Blvd,2133892722.0,seafood,other,seafood,2.25,4.25,2244,1500.0,2200.0,1500.0,2200.0,1500.0,2200.0,1500.0,2200.0,1500.0,2200.0,1200.0,2200.0,1200.0,2200.0
32,M Grill,Los Angeles,90010.0,3832 Wilshire Blvd,2133892770.0,barbecue,brazilian,barbecue,2.75,4.0,1697,1130.0,1400.0,1730.0,2100.0,1130.0,1400.0,1730.0,2100.0,1130.0,1400.0,1730.0,2100.0,1130.0,1400.0
33,Commissary,Los Angeles,90010.0,3515 Wilshire Blvd,2133683030.0,breakfast & brunch,american,breakfast & brunch,2.25,3.75,1280,700.0,1430.0,1700.0,2300.0,700.0,1430.0,1700.0,2300.0,700.0,1430.0,1700.0,2300.0,700.0,1430.0
34,Myung Dong Kyoja,Los Angeles,90010.0,3630 Wilshire Blvd,2133857789.0,korean,korean,other,1.5,4.0,1061,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0
35,Chosun Galbee Restaurant,Los Angeles,90019.0,3330 W Olympic Blvd,3237343330.0,bars,korean,bars,2.75,4.0,1577,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0
36,Gus's World Famous Fried Chicken,Los Angeles,90019.0,1262 Crenshaw Blvd,3234020232.0,american,american,other,2.25,4.0,1064,1100.0,2100.0,1100.0,2100.0,1100.0,2100.0,1100.0,2100.0,1100.0,2200.0,1100.0,2200.0,1100.0,2100.0
37,Roscoe's House of Chicken & Waffles,Los Angeles,90019.0,5006 W Pico Blvd,3239344405.0,breakfast & brunch,american,breakfast & brunch,1.5,4.0,2637,800.0,2400.0,800.0,2400.0,800.0,2400.0,800.0,2400.0,800.0,200.0,900.0,200.0,800.0,2400.0
38,Leos Tacos Truck,Los Angeles,90019.0,1515 S La Brea Ave,3233462001.0,mexican,mexican,other,1.0,4.5,1274,900.0,300.0,900.0,300.0,900.0,300.0,900.0,300.0,900.0,400.0,900.0,400.0,900.0,300.0
39,Sky's Gourmet Tacos,Los Angeles,90019.0,5408 W Pico Blvd,3239326253.0,mexican,mexican,other,1.0,4.25,879,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0
40,Bloom Cafe,Los Angeles,90019.0,5544 W Pico Blvd,3239346900.0,cafe,other,cafe,2.25,4.0,741,900.0,2100.0,900.0,2100.0,900.0,2100.0,900.0,2100.0,900.0,2100.0,900.0,2100.0,900.0,2100.0
41,Pips on La Brea,Los Angeles,90019.0,1356 S La Brea Ave,3239547477.0,breakfast & brunch,american,breakfast & brunch,2.25,4.0,381,1700.0,2300.0,1700.0,2400.0,1700.0,2400.0,1700.0,100.0,1400.0,100.0,1100.0,1400.0,1700.0,2200.0
42,Brownstone Bistro,Los Angeles,90019.0,5047 W Pico Blvd,3239659400.0,seafood,american,seafood,2.25,4.25,206,1600.0,2200.0,1600.0,2200.0,1600.0,2200.0,1600.0,2300.0,1600.0,2300.0,1100.0,1600.0,1600.0,2300.0
43,Paper or Plastik Cafe,Los Angeles,90019.0,5772 W Pico Blvd,3239350268.0,cafe,american,cafe,2.25,3.5,926,700.0,2200.0,700.0,2200.0,700.0,2200.0,700.0,2200.0,700.0,2200.0,700.0,2200.0,700.0,2000.0
44,Trejo's Tacos,Los Angeles,90019.0,1048 S La Brea Ave,3239388226.0,mexican,mexican,other,2.25,3.75,1258,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2300.0,800.0,2300.0,800.0,2200.0
45,The Bun Shop,Los Angeles,90004.0,151 N Western Ave,3234681031.0,korean,korean,other,1.0,4.25,1223,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2400.0,1130.0,2400.0,1130.0,2400.0,1130.0,2200.0
46,Village Pizzeria,Los Angeles,90004.0,131 N Larchmont Blvd,3234655566.0,pizza,italian,pizza,1.5,4.25,1303,1130.0,2130.0,1130.0,2130.0,1130.0,2130.0,1130.0,2200.0,1130.0,2200.0,1200.0,2100.0,1130.0,2200.0
47,Noshi Sushi,Los Angeles,90004.0,4430 Beverly Blvd,3234693458.0,sushi,japanese,sushi,2.25,4.0,1185,1130.0,2100.0,1130.0,2100.0,1130.0,2100.0,1130.0,2100.0,1130.0,2100.0,1130.0,2100.0,1130.0,2100.0
48,Cafe Gratitude,Los Angeles,90004.0,639 N Larchmont Blvd,3235806383.0,cafe,other,cafe,2.25,4.25,2051,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0
49,The Original Pantry,Los Angeles,90017.0,877 S Figueroa St,2139729279.0,breakfast & brunch,american,breakfast & brunch,1.5,3.75,3226,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
50,SUGARFISH by sushi nozawa,Los Angeles,90017.0,600 W 7th St,2136273000.0,sushi,japanese,sushi,2.75,4.25,2387,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1200.0,2100.0
51,Takami Sushi and Robata,Los Angeles,90017.0,811 Wilshire Blvd,2132369600.0,sushi,japanese,sushi,2.75,3.75,2035,1130.0,1400.0,1700.0,2130.0,1130.0,1400.0,1700.0,2130.0,1130.0,1400.0,1700.0,2130.0,1130.0,1400.0
52,Library Bar,Los Angeles,90017.0,630 W 6th St,2136140053.0,american,american,other,2.25,4.0,1627,1500.0,200.0,1500.0,200.0,1500.0,200.0,1500.0,200.0,1500.0,200.0,1500.0,200.0,1500.0,200.0
53,Industriel,Los Angeles,90017.0,609 S Grand Ave,2134888020.0,american,american,other,2.25,4.25,1210,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2300.0,1000.0,2300.0,1000.0,2030.0
