_id,ltable_id,rtable_id,name_name_jac_qgm_3_qgm_3,name_name_cos_dlm_dc0_dlm_dc0,name_name_jac_dlm_dc0_dlm_dc0,name_name_mel,name_name_lev_dist,name_name_lev_sim,name_name_nmw,name_name_sw,category_1_category_1_jac_qgm_3_qgm_3,category_1_category_1_cos_dlm_dc0_dlm_dc0,category_1_category_1_jac_dlm_dc0_dlm_dc0,category_1_category_1_mel,category_1_category_1_lev_dist,category_1_category_1_lev_sim,category_1_category_1_nmw,category_1_category_1_sw,category_2_category_2_jac_qgm_3_qgm_3,category_2_category_2_cos_dlm_dc0_dlm_dc0,category_2_category_2_jac_dlm_dc0_dlm_dc0,category_2_category_2_mel,category_2_category_2_lev_dist,category_2_category_2_lev_sim,category_2_category_2_nmw,category_2_category_2_sw,address_address_jac_qgm_3_qgm_3,address_address_cos_dlm_dc0_dlm_dc0,address_address_jac_dlm_dc0_dlm_dc0,address_address_mel,address_address_lev_dist,address_address_lev_sim,address_address_nmw,address_address_sw,city_city_jac_qgm_3_qgm_3,city_city_cos_dlm_dc0_dlm_dc0,city_city_jac_dlm_dc0_dlm_dc0,city_city_mel,city_city_lev_dist,city_city_lev_sim,city_city_nmw,city_city_sw,zipcode_zipcode_exm,zipcode_zipcode_anm,zipcode_zipcode_lev_dist,zipcode_zipcode_lev_sim,phone_phone_exm,phone_phone_anm,phone_phone_lev_dist,phone_phone_lev_sim,lev_ws_price+rating,predicted
1,a1,b162,1.0,1.0,1.0,1.0,0.0,1.0,35.0,35.0,0.0,0.0,0.0,0.5138888955116272,6.0,0.25,0.0,1.0,0.0,0.0,0.0,0.4416666626930237,8.0,0.0,-3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,1.0,1.0,1.0,1.0,0.0,1.0,11.0,11.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.875,1
2,a1,b268,0.03571428571428571,0.0,0.0,0.5809524059295654,25.0,0.2857142857142857,-4.0,6.0,0.0,0.0,0.0,0.5138888955116272,6.0,0.25,0.0,1.0,0.0,0.0,0.0,0.4416666626930237,8.0,0.0,-3.0,1.0,0.5,0.75,0.6,0.8015384674072266,3.0,0.7692307692307692,10.0,10.0,1.0,1.0,1.0,1.0,0.0,1.0,11.0,11.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0,0.6666666666666667,0.875,0
10,a1,b1987,0.03508771929824561,0.0,0.0,0.5938491821289062,26.0,0.2571428571428571,-5.0,6.0,0.45454545454545453,0.0,0.0,0.8888888955116272,1.0,0.8333333333333334,5.0,5.0,0.25,0.0,0.0,0.7777777910232544,2.0,0.75,6.0,6.0,0.2857142857142857,0.6123724356957946,0.42857142857142855,0.7207692265510559,10.0,0.5,3.0,10.0,1.0,1.0,1.0,1.0,0.0,1.0,11.0,11.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0,0.6666666666666667,0.875,0
23,a2,b162,0.03508771929824561,0.0,0.0,0.5701298713684082,25.0,0.2857142857142857,-3.0,5.0,0.25,0.0,0.0,0.7777777910232544,2.0,0.75,6.0,6.0,0.15384615384615385,0.0,0.0,0.5777778029441833,4.0,0.33333333333333337,1.0,2.0,0.5,0.75,0.6,0.8015384674072266,3.0,0.7692307692307692,10.0,10.0,1.0,1.0,1.0,1.0,0.0,1.0,11.0,11.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0,0.6666666666666667,0.75,0
24,a2,b268,0.7916666666666666,0.6666666666666667,0.5,0.9909090995788574,1.0,0.9545454545454546,20.0,20.0,0.25,0.0,0.0,0.7777777910232544,2.0,0.75,6.0,6.0,0.15384615384615385,0.0,0.0,0.5777778029441833,4.0,0.33333333333333337,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,1.0,1.0,1.0,1.0,0.0,1.0,11.0,11.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.75,1
28,a2,b872,0.08108108108108109,0.0,0.0,0.48998919129371643,18.0,0.18181818181818177,-2.0,3.0,0.0,0.0,0.0,0.4416666626930237,8.0,0.0,-3.0,1.0,0.45454545454545453,0.0,0.0,0.8888888955116272,1.0,0.8333333333333334,5.0,5.0,0.5,0.75,0.6,0.8531468510627747,3.0,0.7692307692307692,10.0,10.0,1.0,1.0,1.0,1.0,0.0,1.0,11.0,11.0,1.0,1.0,0.0,1.0,0.0,0.9993673406267,3.0,0.75,0.75,0
32,a2,b1987,0.41935483870967744,0.0,0.0,0.9010480642318726,5.0,0.7727272727272727,15.0,15.0,0.0,0.0,0.0,0.5138888955116272,6.0,0.25,0.0,1.0,0.0,0.0,0.0,0.5138888955116272,6.0,0.25,0.0,1.0,0.5652173913043478,0.8164965809277261,0.6666666666666666,0.9300000071525574,7.0,0.65,6.0,13.0,1.0,1.0,1.0,1.0,0.0,1.0,11.0,11.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1
34,a2,b2041,0.058823529411764705,0.0,0.0,0.5517676472663879,14.0,0.36363636363636365,-2.0,5.0,0.0,0.0,0.0,0.4416666626930237,8.0,0.0,-3.0,1.0,0.45454545454545453,0.0,0.0,0.8888888955116272,1.0,0.8333333333333334,5.0,5.0,0.5789473684210527,0.75,0.6,0.8694638609886169,2.0,0.8461538461538461,11.0,11.0,1.0,1.0,1.0,1.0,0.0,1.0,11.0,11.0,1.0,1.0,0.0,1.0,0.0,1.0,6.0,0.5,1.0,0
48,a5,b392,0.7142857142857143,0.7999999999999998,0.6666666666666666,0.9343892335891724,3.0,0.8695652173913043,18.0,18.0,0.5,0.0,0.0,0.9047619104385376,1.0,0.8571428571428572,6.0,6.0,0.04062456970781939,0.0,0.0,0.4700420622136425,9.969356486210419,0.19369067060925027,-3.010214504596527,2.1144024514811033,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,1.0,1.0,1.0,1.0,0.0,1.0,11.0,11.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.875,1
69,a7,b385,1.0,1.0,1.0,1.0,0.0,1.0,10.0,10.0,0.0,0.0,0.0,0.40833333134651184,9.0,0.09999999999999998,-1.0,1.0,0.0,0.0,0.0,0.5842490792274475,11.0,0.2142857142857143,1.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,17.0,17.0,1.0,1.0,1.0,1.0,0.0,1.0,11.0,11.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.875,1
